#
# Transition date estimate for NEON.D15.ONAQ.DP1.00042
#
# Site: NEON.D15.ONAQ.DP1.00042
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-01-29
# Final Processing Time: 13:47:35
# Spline RMSE gcc_mean: 0.00094
# Spline RMSE gcc_50: 0.00094
# Spline RMSE gcc_75: 0.00112
# Spline RMSE gcc_90: 0.00138
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2017-03-14,2017-03-21,2017-04-14,2017-03-10,2017-03-18,2017-04-11,2017-03-17,2017-03-28,2017-04-16,0.3432,0.34728,0.35442,0.34059,0.36763
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_90,2018-03-27,2018-04-07,2018-04-26,2018-03-26,2018-04-06,2018-04-25,2018-04-01,2018-04-11,2018-04-28,0.34412,0.34981,0.36015,0.34035,0.37819
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_75,2018-03-21,2018-04-06,2018-04-24,2018-03-20,2018-04-05,2018-04-23,2018-04-01,2018-04-10,2018-04-26,0.34316,0.3483,0.35718,0.33968,0.37459
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_50,2018-03-18,2018-04-05,2018-04-23,2018-03-17,2018-04-04,2018-04-22,2018-03-30,2018-04-08,2018-04-24,0.34215,0.34681,0.35503,0.33902,0.37064
NEON.D15.ONAQ.DP1.00042,GR,1000,rising,gcc_mean,2018-03-18,2018-04-05,2018-04-24,2018-03-17,2018-04-04,2018-04-23,2018-03-30,2018-04-08,2018-04-25,0.34201,0.34678,0.35614,0.33888,0.37122
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_90,2019-06-12,2019-06-10,2019-06-06,2019-06-13,2019-06-11,2019-06-07,2019-06-11,2019-06-09,2019-06-05,0.3351,0.34275,0.3569,0.33175,0.37761
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_90,2017-06-05,2017-06-02,2017-05-26,2017-06-06,2017-06-03,2017-05-28,2017-06-03,2017-05-31,2017-05-16,0.33972,0.34469,0.35408,0.33762,0.37017
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_75,2019-06-12,2019-06-10,2019-06-06,2019-06-13,2019-06-11,2019-06-07,2019-06-11,2019-06-09,2019-06-05,0.33352,0.3407,0.35391,0.33037,0.37384
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_50,2019-06-12,2019-06-10,2019-06-06,2019-06-13,2019-06-11,2019-06-07,2019-06-11,2019-06-09,2019-06-05,0.33087,0.33741,0.34986,0.32804,0.36995
NEON.D15.ONAQ.DP1.00042,GR,1000,falling,gcc_mean,2019-06-12,2019-06-10,2019-06-06,2019-06-13,2019-06-11,2019-06-07,2019-06-11,2019-06-09,2019-06-05,0.33111,0.33783,0.35047,0.3282,0.37076
